sample_id,source_sample_id
Rat_01,g+292.2
Rat_02,g+296.4
Rat_03,g+292.12
Rat_04,g+312.8
Rat_05,g+312.10
Rat_06,g339.7
Rat_07,g339.11
Rat_08,g+212.10
Rat_09,g+230.8
Rat_10,g+230.4
Rat_11,g431.7
Rat_12,g439.7
Rat_13,g451.5
Rat_14,g+232.4
Rat_15,g+268.4
Rat_16,g+310.6
Rat_17,g451.3
Rat_18,g452.3
Rat_19,g484.2
Rat_20,g484.6
Rat_21,g484.4
Rat_22,g445.10
Rat_23,g445.6
Rat_24,g445.12
Rat_25,g474.8
Rat_26,g476.10
